"DatabaseName","FKName","ParentSchema","ParentTable","ParentColumn","ReferencedSchema","ReferencedTable","ReferencedColumn","delete_referential_action_desc","update_referential_action_desc","constraint_column_id"
"Adnan","FK_TblSalesRepCommDetails1_TblSalesRepComm","dbo","TblSalesRepCommDetails1","TblSalesRepCommId","dbo","TblSalesRepComm","id","CASCADE","CASCADE","1"
"Adnan","FK_TblSalesRepCommTargetDetails_TblSalesRepCommTarget","dbo","TblSalesRepCommTargetDetails","TblSalesRepCommTargetId","dbo","TblSalesRepCommTarget","id","CASCADE","CASCADE","1"
"Adnan","FK_tblScreenCriteriaValues_tblScreenCriteria","dbo","tblScreenCriteriaValues","CriteriaID","dbo","tblScreenCriteria","CriteriaID","CASCADE","CASCADE","1"
"Adnan","FK_tblSpecificComponentDetails_tblSpecificComponent","dbo","tblSpecificComponentDetails","SpecificComponentId","dbo","tblSpecificComponent","SpecificComponentId","CASCADE","CASCADE","1"
"Adnan","FK_TblStrartGardDetails_TblStrartGard","dbo","TblStrartGardDetails","TblStrartGardId","dbo","TblStrartGard","id","CASCADE","CASCADE","1"
"Adnan","FK_TblVendorContractDetails_TblItems","dbo","TblVendorContractDetails","ItemID","dbo","TblItems","ItemID","CASCADE","CASCADE","1"
"Adnan","FK_TblVendorContractDetails_TblVendorContract","dbo","TblVendorContractDetails","TblVendorContractD","dbo","TblVendorContract","TblVendorContractD","CASCADE","CASCADE","1"
"Adnan","FK_Template_Details_TblItems","dbo","Template_Details","ItemID","dbo","TblItems","ItemID","NO_ACTION","NO_ACTION","1"
"Adnan","FK_Template_Details_Templates","dbo","Template_Details","TemplateID","dbo","Templates","TemplateID","NO_ACTION","NO_ACTION","1"
"Adnan","FK_Transaction_Details_TblItems","dbo","Transaction_Details","Item_ID","dbo","TblItems","ItemID","NO_ACTION","CASCADE","1"
"Adnan","FK_Transaction_Details_Transactions","dbo","Transaction_Details","Transaction_ID","dbo","Transactions","Transaction_ID","CASCADE","CASCADE","1"
"Adnan","FK_Transactions_TblCustemers","dbo","Transactions","CusID","dbo","TblCustemers","CusID","NO_ACTION","CASCADE","1"
"Adnan","FK_Transactions_TblStore","dbo","Transactions","StoreID","dbo","TblStore","StoreID","NO_ACTION","CASCADE","1"
"Adnan","FK_Transactions_TblUsers","dbo","Transactions","UserID","dbo","TblUsers","UserID","NO_ACTION","NO_ACTION","1"
"Adnan","FK_Transactions_TransactionTypes","dbo","Transactions","Transaction_Type","dbo","TransactionTypes","Transaction_Type","NO_ACTION","CASCADE","1"
"Adnan","FK_TransactionsCreteria_Transactions","dbo","TransactionsCreteria","Transaction_ID","dbo","Transactions","Transaction_ID","CASCADE","CASCADE","1"
"Adnan","FK_TransactionsValues_Transactions","dbo","TransactionsValues","Transaction_ID","dbo","Transactions","Transaction_ID","CASCADE","CASCADE","1"
"Adnan","FK_UnitsIndustrialCostDetails_UnitsIndustrialCost","dbo","UnitsIndustrialCostDetails","UnitsIndustrialCostId","dbo","UnitsIndustrialCost","id","CASCADE","CASCADE","1"
