"TableName","ColumnName","DataType"
"TblContractDet","ContNo","int"
"TblContractDetails","Contract_ID","int"
"tblContractInsAllocations","NoteID","int"
"tblContractInsAllocations","NoteSerial","nvarchar"
"tblContractInsAllocations1","NoteID","int"
"tblContractInsAllocations1","NoteSerial","nvarchar"
"tblContractInsAllocationsDetails","InstallNo","int"
"tblContractInsAllocationsDetails","Installdate","datetime"
"tblContractInsAllocationsDetails","InstalldateH","nvarchar"
"tblContractInsAllocationsDetails","installValue","float"
"tblContractInsAllocationsDetails","allocations","int"
"tblContractInsAllocationsDetails","Installid","int"
"tblContractInsAllocationsDetails","NoteSerial","nvarchar"
"tblContractInsAllocationsDetails","nextinstalldateH","nvarchar"
"tblContractInsAllocationsDetails","nextinstalldate","datetime"
"tblContractInsAllocationsDetails","ContNo","int"
"tblContractInsAllocationsDetails","NoteSerial1H","nvarchar"
"tblContractInsAllocationsDetails","InstructionNote","nvarchar"
"tblContractInsAllocationsDetails","paymentnote","nvarchar"
"tblContractInsAllocationsDetails","HNoteSerial1","nvarchar"
"tblContractInsAllocationsDetails","OldNoteSerial1H","nvarchar"
"tblContractInsAllocationsDetails1","InstallNo","int"
"tblContractInsAllocationsDetails1","Installdate","datetime"
"tblContractInsAllocationsDetails1","InstalldateH","nvarchar"
"tblContractInsAllocationsDetails1","installValue","float"
"tblContractInsAllocationsDetails1","allocations","int"
"tblContractInsAllocationsDetails1","Installid","int"
"tblContractInsAllocationsDetails1","NoteSerial","nvarchar"
"tblContractInsAllocationsDetails1","ContractFlag","int"
"tblContractInsAllocationsDetails2","InstallNo","int"
"tblContractInsAllocationsDetails2","Installdate","datetime"
"tblContractInsAllocationsDetails2","InstalldateH","nvarchar"
"tblContractInsAllocationsDetails2","installValue","float"
"tblContractInsAllocationsDetails2","allocations","int"
"tblContractInsAllocationsDetails2","Installid","int"
"tblContractInsAllocationsDetails2","NoteSerial","nvarchar"
"TblContractInstallDisco","InstallNoStart","float"
"TblContractInstallDisco2","Cont","int"
"TblContractInstallments","ContNo","float"
"TblContractInstallments","InstallNo","int"
"TblContractInstallments","Installdate","datetime"
"TblContractInstallments","InstalldateH","nvarchar"
"TblContractInstallments","installValue","float"
"TblContractInstallments","NoteSerial","nvarchar"
"TblContractInstallments","NoteSerial1","nvarchar"
"TblContractInstallments","NoteID","int"
"TblContractInstallments","allocations","int"
"TblContractInstallments","WivrID","int"
"TblContractInstallments","ContractReVouchID","int"
"TblContractInstallments","ContractReVouchID2","int"
"TblContractInstallments","NoteIdDiff","int"
"TblContractInstallments","NoteSerialDiff","int"
"TblContractInstallments","NoteSerial1H","nvarchar"
"TblContractInstallmentsHist","ContNo","int"
"TblContractInstallmentsOld","ContNo","int"
"TblContractInstallmentsOld","InstallNo","int"
"TblContractInstallmentsOld","Installdate","datetime"
"TblContractInstallmentsOld","InstalldateH","nvarchar"
"TblContractInstallmentsOld","installValue","float"
"TblContractInstallmentsOld","NoteSerial","nvarchar"
"TblContractInstallmentsOld","NoteSerial1","nvarchar"
"TblContractInstallmentsOld","NoteID","int"
"TblContractInstallmentsOld","allocations","int"
"TblCOntractSales","ContNo","int"
"TblContrStudent","TypeContID","int"
"TblContrStudent","ContType","int"
"TblContrStudent","EndCont","int"
"TblContrStudent","ContValue","float"
"TblContrStudentDet","ContStudID","int"
"TblCusCar","EndAllocationDate","datetime"
"TblCustemers","ResponsibleContact","nvarchar"
"TblCustomerAlarm","ContNo","nvarchar"
"TblCustomerContract","TblCustomerContractD","int"
"TblCustomerContractDetails","TblCustomerContractD","int"
"TblCustomerContractDetailsGroups","TblCustomerContractD","int"
"TblDefComItem","Allocated","bit"
"TblDefComItem","NoteSerial11","nvarchar"
"TblDefComItem","NoteSerial12","nvarchar"
"TblDefComItem","NoteSerial13","nvarchar"
"TblDefComItem","NoteSerial14","nvarchar"
"TblDefComItem","NoteSerial15","nvarchar"
"TblDefComItem","Noteid3","int"
"TblDefComItem","NoteSerial16","nvarchar"
"TblDefComItemData","NoteSerial14","nvarchar"
"TblDefComItemData","NoteSerial15","nvarchar"
"TblDeported","NoteSerialOrder","float"
"TblDeported","NoteSerial1","float"
"TblDetailsAdoption","NoteSerial","nvarchar"
"TblDetailsAdoption","NoteID","int"
"tblEInvoice","InstructionNote","nvarchar"
"tblEInvoice","paymentnote","nvarchar"
"tblEInvoice2","InstructionNote","nvarchar"
"tblEInvoice2","paymentnote","nvarchar"
"TblEmpAdvance","NoteSerial","nvarchar"
"TblEmpAdvance","NoteSerial1","nvarchar"
"TblEmpAdvance","OldNoteSerial1","nvarchar"
"TblEmpAdvance","NoteID","int"
"TblEmpADvancedComponents","EmpAllocationsid","int"
"TblEmpADvancedComponents","AllocationsType","int"
"TblEmpADvancedComponents","NoteID","int"
"TblEmpADvancedComponents","NoteSerial","nvarchar"
"TblEmpADvancedComponents","NoteSerial1","nvarchar"
"TblEmpADvancedComponents","OldNoteSerial1","nvarchar"
"TblEmpADvancedComponentsDetails","EmpAllocationsid","int"
"TblEmpAdvanceRequest","Contractvalid","float"
"TblEmpAdvanceRequest","NoteSerial","nvarchar"
"TblEmpAdvanceRequestDetails2","LongContarct","int"
"TblEmpAllocations","EmpAllocationsid","int"
"TblEmpAllocations","AllocationsType","int"
"TblEmpAllocations","NoteID","int"
"TblEmpAllocations","NoteSerial","nvarchar"
"TblEmpAllocations","NoteSerial1","nvarchar"
"TblEmpAllocations","OldNoteSerial1","nvarchar"
"TblEmpAllocationsDetails","EmpAllocationsid","int"
"TblEmpIncreaseSalary","ADDtype_Contract","int"
"TblEmpIncreaseSalary","ContractUPdata","int"
"TblEmpJobOrder","NoteSerial","nvarchar"
"TblEmployee","EmpNotes","nvarchar"
"TblEmployee","ContractID","int"
"TblEmpPassOver","NoteSerial","nvarchar"
"TblEmpPassOver","BossNotes","nvarchar"
"TblEmpPassOver","NoteID","int"
"TblEmpPassOver2","NoteSerial","nvarchar"
"TblEndDebtAgingInvDet","NoteSerial1","float"
"TblEndDebtAgingInvDet","Note_Value","int"
"TblEndDebtAgingInvDet","NoteDate","datetime"
"TblEndDebtAgingInvDet","NoteID1","int"
"TblEndDebtAgingInvDet","NoteID","int"
"TblEndDebtAgingInvDet2","NoteSerial1","nvarchar"
"TblEndDebtAgingInvDet2","NoteSerial","nvarchar"
"TblEndDebtAgingInvDet2","Note_Value","int"
"TblEndDebtAgingInvDet2","NotesTypeName","nvarchar"
"TblEndDebtAgingInvDet2","NoteID","int"
"TblEndorseTrans","TypeCont","int"
"TblEquipments","Notes","nvarchar"
"TblEquipments1","Notes","nvarchar"
"TblExchange","NoteSerial1","nvarchar"
"TblExchangeReques_Detailst","ContractBDate","nvarchar"
"TblExchangeReques_Detailst","ContractEDate","nvarchar"
"TblExchangeReques_Detailst","ContractDate","nvarchar"
"TblExchangeReques_Detailst2","StartContractDate","nvarchar"
"TblExchangeReques_Detailst2","EndContractDate","nvarchar"
"TblExchangeRequest","NoteSerial","nvarchar"
"TblExchangeRequest","NoteID","int"
"TblExchangeRequest2","NoteSerial","nvarchar"
"TblExchangeRequest2","NoteID","int"
"TblExpensesInvesment","NoteSerial","nvarchar"
"TblExpensesInvesment","NoteID","int"
"TblExpensesInvesmentDet","AccontCode","nvarchar"
"TblExtinAccounts","NoteSerial","nvarchar"
"TblExtinAccounts","NoteID","int"
"TblFiterWaiver","FilterDateH","nvarchar"
"TblFiterWaiver","FilterDate","datetime"
"TblFiterWaiver","ContNo","int"
"TblFiterWaiver","ContractNo","nvarchar"
"TblFiterWaiver","NoteID","int"
"TblFiterWaiver","NoteSerial","nvarchar"
"TblFiterWaiver","ContractDays","float"
"TblFiterWaiver","LastInstalldate","datetime"
"TblFiterWaiver","InstalldateH","nvarchar"
"TblFiterWaiverDet2","FilterDateH","nvarchar"
"TblFiterWaiverDet2","FilterDate","datetime"
"TblFiterWaiverDet2","ContNo","int"
"TblFiterWaiverDet2","ContractNo","nvarchar"
"TblFiterWaiverDet2","NoteID","int"
"TblFiterWaiverDet2","NoteSerial","nvarchar"
"TblFiterWaiverDet2","ContractDays","float"
"tblFromWeb","Notes","nvarchar"
"tblGeneralCashing","OldNoteSerial1","nvarchar"
"tblGeneralCashing","NoteSerial","nvarchar"
"tblGeneralCashing","NoteSerial1","nvarchar"
"tblGeneralCashing","NoteID","int"
"tblGeneralCashing1","OldNoteSerial1","nvarchar"
"tblGeneralCashing1","NoteSerial","nvarchar"
"tblGeneralCashing1","NoteSerial1","nvarchar"
"tblGeneralCashing1","NoteID","int"
"tblGeneralCashing1Details","NoteID","int"
"tblGeneralCashingDetails","NoteID","int"
"tblGeneralCashingDetailsCus","NoteSerial1","nvarchar"
"TBLGeneralFRJoin","NoteSerial","bigint"
