
TableName              ColumnName                         TypeName      max_length is_nullable
DOUBLE_ENTREY_VOUCHERS buy                                bit                    1        True
DOUBLE_ENTREY_VOUCHERS ItemID                             int                    4        True
DOUBLE_ENTREY_VOUCHERS Transaction_ID1                    float                  8        True
DOUBLE_ENTREY_VOUCHERS FixedAssetId                       int                    4        True
DOUBLE_ENTREY_VOUCHERS FixedAssetgroupid                  int                    4        True
DOUBLE_ENTREY_VOUCHERS FixedAssetbranch_id                int                    4        True
DOUBLE_ENTREY_VOUCHERS branch_id                          int                    4        True
DOUBLE_ENTREY_VOUCHERS Trip                               int                    4        True
DOUBLE_ENTREY_VOUCHERS Carid                              float                  8        True
DOUBLE_ENTREY_VOUCHERS RecordDateH                        nvarchar             510        True
DOUBLE_ENTREY_VOUCHERS ShowQty1                           float                  8        True
DOUBLE_ENTREY_VOUCHERS showPrice1                         float                  8        True
DOUBLE_ENTREY_VOUCHERS showPrice2                         float                  8        True
DOUBLE_ENTREY_VOUCHERS Salaries1                          float                  8        True
DOUBLE_ENTREY_VOUCHERS Salaries2                          float                  8        True
DOUBLE_ENTREY_VOUCHERS Departementid                      float                  8        True
DOUBLE_ENTREY_VOUCHERS NEmpid                             float                  8        True
DOUBLE_ENTREY_VOUCHERS Billno                             nvarchar             800        True
DOUBLE_ENTREY_VOUCHERS Aqarid                             int                    4        True
DOUBLE_ENTREY_VOUCHERS unittype                           int                    4        True
DOUBLE_ENTREY_VOUCHERS unitno                             int                    4        True
DOUBLE_ENTREY_VOUCHERS projectid                          int                    4        True
DOUBLE_ENTREY_VOUCHERS operid                             int                    4        True
DOUBLE_ENTREY_VOUCHERS pandid                             int                    4        True
DOUBLE_ENTREY_VOUCHERS fixedid                            int                    4        True
DOUBLE_ENTREY_VOUCHERS Remarks2                           nvarchar            8000        True
DOUBLE_ENTREY_VOUCHERS hideline                           int                    4        True
DOUBLE_ENTREY_VOUCHERS ToTrans                            int                    4        True
DOUBLE_ENTREY_VOUCHERS Collected                          int                    4        True
DOUBLE_ENTREY_VOUCHERS Copied                             int                    4        True
DOUBLE_ENTREY_VOUCHERS FLgBranch                          int                    4        True
DOUBLE_ENTREY_VOUCHERS Vat                                float                  8        True
DOUBLE_ENTREY_VOUCHERS Vatyo                              float                  8        True
DOUBLE_ENTREY_VOUCHERS AccountCode2                       nvarchar             110        True
DOUBLE_ENTREY_VOUCHERS FlgVat                             int                    4        True
DOUBLE_ENTREY_VOUCHERS ForcedFlg                          int                    4        True
DOUBLE_ENTREY_VOUCHERS CurrRow                            int                    4        True
DOUBLE_ENTREY_VOUCHERS StrUnit                            nvarchar             110        True
DOUBLE_ENTREY_VOUCHERS Unitss                             nvarchar             110        True
DOUBLE_ENTREY_VOUCHERS TotalValue                         float                  8        True
DOUBLE_ENTREY_VOUCHERS SupplierID                         int                    4        True
DOUBLE_ENTREY_VOUCHERS PriceTotal                         float                  8        True
DOUBLE_ENTREY_VOUCHERS Rate2                              float                  8        True
DOUBLE_ENTREY_VOUCHERS CusVATNO                           nvarchar             800        True
DOUBLE_ENTREY_VOUCHERS SupplierName                       nvarchar             800        True
DOUBLE_ENTREY_VOUCHERS DescAccount                        nvarchar            8000        True
DOUBLE_ENTREY_VOUCHERS NextAccount_Code                   nvarchar             110        True
DOUBLE_ENTREY_VOUCHERS SessionCode                        nvarchar             510        True
DOUBLE_ENTREY_VOUCHERS VATYou                             float                  8        True
DOUBLE_ENTREY_VOUCHERS DueDate                            datetime               8        True
DOUBLE_ENTREY_VOUCHERS IsHidden                           int                    4        True
DOUBLE_ENTREY_VOUCHERS IsHiddenInv                        bit                    1        True
DOUBLE_ENTREY_VOUCHERS IsExpens                           bit                    1        True
DOUBLE_ENTREY_VOUCHERS uintid                             int                    4        True
DOUBLE_ENTREY_VOUCHERS mType                              int                    4        True
DOUBLE_ENTREY_VOUCHERS iqarid                             int                    4        True
DOUBLE_ENTREY_VOUCHERS RelatedEntityType                  int                    4        True
DOUBLE_ENTREY_VOUCHERS RelatedEntityID                    int                    4        True
Notes                  NoteID                             int                    4       False
Notes                  NoteDate                           smalldatetime          4        True
Notes                  NoteType                           int                    4        True
Notes                  NoteSerial                         float                  8        True
Notes                  NoteSerial1                        float                  8        True
Notes                  Note_Value                         float                  8        True
Notes                  BankID                             int                    4        True
Notes                  ChqueNum                           nvarchar             100        True
Notes                  DueDate                            smalldatetime          4        True
Notes                  NoteHijriDate                      nvarchar             100        True
Notes                  Transaction_ID                     int                    4        True
Notes                  MaintananceID                      int                    4        True
Notes                  Member_ID                          int                    4        True
Notes                  UserID                             int                    4        True
Notes                  Remark                             nvarchar            8000        True
Notes                  ExpensesID                         int                    4        True
Notes                  CashingType                        int                    4        True
Notes                  CusID                              int                    4        True
Notes                  BoxID                              int                    4        True
Notes                  RevenuesID                         int                    4        True
Notes                  RetrunNoteID                       int                    4        True
Notes                  NoteCashingType                    int                    4        True
Notes                  NotePosted                         int                    4        True
Notes                  PostedBy                           int                    4        True
Notes                  PostDate                           datetime               8        True
Notes                  NumOrderInpot                      nvarchar             100        True
Notes                  Buy                                char                   1        True
Notes                  ked_type                           nvarchar             100        True
Notes                  numbering_type                     int                    4        True
Notes                  sanad_year                         int                    4        True
Notes                  sanad_month                        int                    4        True
Notes                  type                               nvarchar             100        True
Notes                  branch_no                          int                    4        True
Notes                  user_name                          nvarchar             100        True
Notes                  DEPARTEMENT                        nvarchar             100        True
Notes                  sanad_type                         nvarchar             100        True
Notes                  sanad_source                       nvarchar             100        True
Notes                  Double_Entry_Vouchers_ID           int                    4        True
Notes                  DAWRY                              bit                    1        True
Notes                  KALEB                              bit                    1        True
Notes                  projectAccountCode                 nvarchar             100        True
Notes                  foxy_no                            float                  8        True
Notes                  person                             nvarchar            8000        True
Notes                  project_Expensen_account           nvarchar             100        True
Notes                  salary                             int                    4        True
Notes                  displayed                          int                    4        True
Notes                  Adv_payment_value                  money                  8        True
Notes                  note_value_by_characters           nvarchar            2000        True
Notes                  too                                nvarchar            2000        True
Notes                  notes_all                          int                    4        True
Notes                  general_cost_center                varchar              200        True
