
TableName                         column_id ColumnName                         TypeName        
TblAqar                                  22 lastrentvalue                      float           
TblAqar                                  23 northlength                        float           
TblAqar                                  24 Southlength                        float           
TblAqar                                  25 eastlength                         float           
TblAqar                                  26 Westlength                         float           
TblAqar                                  27 totallength                        float           
TblAqar                                  28 meterRentvalue                     float           
TblAqar                                  29 metersalevalue                     float           
TblAqar                                  30 GoogleMap                          nvarchar        
TblAqar                                  31 statusdate                         datetime        
TblAqar                                  32 suckdate                           datetime        
TblAqar                                  33 suckdateH                          nvarchar        
TblAqar                                  34 suckno                             nvarchar        
TblAqar                                  35 authorizationname                  nvarchar        
TblAqar                                  36 Rate                               nvarchar        
TblAqar                                  37 UnitNo                             nvarchar        
TblAqar                                  38 Block                              nvarchar        
TblAqar                                  39 Part                               nvarchar        
TblAqar                                  40 StreetNo                           nvarchar        
TblAqar                                  41 PriceSomW                          nvarchar        
TblAqar                                  42 PriceHadW                          nvarchar        
TblAqar                                  43 Price                              float           
TblAqar                                  44 PriceSom                           float           
TblAqar                                  45 PriceHad                           float           
TblAqar                                  46 eastWriiten                        nvarchar        
TblAqar                                  47 westWriiten                        nvarchar        
TblAqar                                  48 BranchId                           int             
TblAqar                                  49 AgemcyNo                           nvarchar        
TblAqar                                  50 Telephone                          nvarchar        
TblAqar                                  51 Mobile                             nvarchar        
TblAqar                                  52 Email                              nvarchar        
TblAqar                                  53 Fax                                nvarchar        
TblAqar                                  54 AccountBank                        nvarchar        
TblAqar                                  55 ContValue                          float           
TblAqar                                  56 PaymentNo                          int             
TblAqar                                  57 Priod                              int             
TblAqar                                  58 PriodDMY                           int             
TblAqar                                  59 PriodAlow                          int             
TblAqar                                  60 PriodAlowDMY                       int             
TblAqar                                  61 DateHCont                          nvarchar        
TblAqar                                  62 DateCont                           datetime        
TblAqar                                  63 FromCotDateH                       nvarchar        
TblAqar                                  64 FromCotDate                        datetime        
TblAqar                                  65 ToCotDateH                         nvarchar        
TblAqar                                  66 ToCotDate                          datetime        
TblAqar                                  67 FirstInstallDateH                  nvarchar        
TblAqar                                  68 FristPaymentDate                   datetime        
